,eta,phi,PT,jmass,ntrk,btag,hadem
0,-1.655,1.846,1282.79,0.0,1.0,0.0,0.0
1,1.162,0.62,1080.16,0.0,1.0,0.0,0.0
2,-1.205,1.778,1682.33,0.0,1.0,0.0,0.0
3,0.03,2.735,3302.23,0.0,-1.0,0.0,0.0
4,0.631,-2.518,35.12,0.0,1.0,0.0,0.0
5,1.453,0.599,519.28,0.0,1.0,0.0,0.0
6,0.563,-0.362,350.23,0.0,-1.0,0.0,0.0
7,0.698,0.216,21.14,0.0,1.0,0.0,0.0
8,0.151,-0.153,1512.49,0.0,-1.0,0.0,0.0
9,0.121,2.645,2835.5,0.0,1.0,0.0,0.0
10,-0.365,-2.583,1379.38,0.0,1.0,0.0,0.0
11,-0.465,1.733,599.11,0.0,1.0,0.0,0.0
12,0.201,-1.326,1844.17,0.0,-1.0,0.0,0.0
13,0.156,-1.768,502.82,0.0,1.0,0.0,0.0
14,0.034,-0.882,4349.64,0.0,1.0,0.0,0.0
15,1.023,-2.651,46.1,0.0,1.0,0.0,0.0
16,-0.219,1.465,549.07,0.0,-1.0,0.0,0.0
17,0.11,-0.337,3975.13,0.0,1.0,0.0,0.0
18,-0.542,1.808,146.23,0.0,-1.0,0.0,0.0
19,-1.72,-3.019,326.69,0.0,-1.0,0.0,0.0
20,-0.678,-1.795,4205.51,0.0,1.0,0.0,0.0
21,0.352,0.746,2159.15,0.0,-1.0,0.0,0.0
22,-0.217,3.043,481.53,0.0,1.0,0.0,0.0
23,-0.603,-2.136,414.26,0.0,1.0,0.0,0.0
24,0.011,-0.1,143.14,0.0,-1.0,0.0,0.0
25,-0.093,-1.229,97.72,0.0,1.0,0.0,0.0
26,0.734,2.96,1713.2,0.0,-1.0,0.0,0.0
27,1.74,-0.065,783.03,0.0,-1.0,0.0,0.0
28,-0.406,-0.958,2613.25,0.0,1.0,0.0,0.0
29,-0.64,0.921,2054.78,0.0,1.0,0.0,0.0
30,0.416,-2.587,1005.84,0.0,-1.0,0.0,0.0
31,-1.22,-0.36,2003.23,0.0,1.0,0.0,0.0
32,0.798,-0.879,447.54,0.0,-1.0,0.0,0.0
33,0.172,-1.018,359.33,0.0,1.0,0.0,0.0
34,-0.499,-2.936,2212.78,0.0,1.0,0.0,0.0
35,-1.017,2.797,726.86,0.0,1.0,0.0,0.0
36,-1.69,-2.052,48.2,0.0,1.0,0.0,0.0
37,1.578,1.007,1076.47,0.0,1.0,0.0,0.0
38,0.477,-2.566,914.18,0.0,1.0,0.0,0.0
39,-0.031,1.174,3056.92,0.0,-1.0,0.0,0.0
40,0.736,1.202,2126.48,0.0,-1.0,0.0,0.0
41,-0.086,-2.383,2233.36,0.0,1.0,0.0,0.0
42,0.558,1.551,322.54,0.0,-1.0,0.0,0.0
